股票代码,总市值
600000,2122.16
600004,338.68
600006,117.6
600007,198.74
600008,215.08
600009,1172.82
600010,835.45
600011,1381.43
600012,170.51
600015,891.24
600016,1733.78
600017,92.27
600018,1206.12
600019,1400.29
600020,82.93
600021,279.14
600022,161.55
600023,620.82
600025,1269.0
600026,671.25
600027,557.4
600028,7289.7
600029,1246.72
600030,3571.75
600031,1349.37
600032,268.36
600033,85.9
600035,63.6
600036,8360.38
600037,115.8
600038,231.31
600039,814.91
600048,1671.07
600050,1672.89
600051,23.44
600052,40.61
600053,60.7
600054,95.99
600055,132.25
600056,201.64
600057,179.42
600058,103.87
600059,93.98
600060,275.78
600061,509.53
600062,172.64
600063,113.79
600064,116.11
600066,287.81
600067,41.33
600070,14.51
600071,53.95
600072,162.12
600073,71.92
600075,81.95
600076,36.44
600078,58.7
600079,360.49
600080,27.85
600081,60.9
600082,22.81
600083,16.24
600084,94.51
600085,777.62
600088,54.29
600089,814.13
600094,89.61
600095,259.9
600096,327.61
600097,23.47
600098,216.9
600099,19.61
600100,239.55
600101,36.5
600103,67.33
600104,1729.15
600105,93.97
600106,63.93
600107,19.26
600108,62.5
600109,378.02
600110,119.98
600111,877.01
600112,17.72
600113,30.16
600114,51.9
600115,1058.84
600116,163.11
600117,30.94
600118,312.3
600119,22.83
600120,141.4
600121,53.73
600123,129.06
600125,78.07
600126,153.66
600127,59.04
600128,21.32
600129,265.86
600130,31.41
600131,190.12
600132,424.93
600133,63.07
600135,40.5
600136,17.08
600137,15.77
600138,96.92
600141,251.91
600143,230.64
600148,21.5
600149,21.86
600150,1297.45
600151,118.47
600152,40.31
600153,331.17
600155,179.1
600156,18.09
600157,328.82
600158,92.4
600159,28.05
600160,445.19
600161,403.22
600162,73.87
600163,98.0
600165,28.83
600166,278.53
600167,149.19
600168,44.84
600169,83.85
600170,250.58
600171,120.72
600172,57.54
600173,39.65
600176,573.25
600177,322.17
600178,29.86
600179,123.56
600180,65.31
600182,53.35
600183,357.63
600184,62.88
600185,123.84
600186,59.56
600187,44.54
600188,1315.75
600189,50.35
600190,63.27
600191,36.32
600192,24.08
600193,22.46
600195,119.37
600196,791.49
600197,116.62
600198,84.6
600199,173.46
600200,54.2
600201,111.59
600202,21.08
600203,34.57
600206,107.77
600207,56.97
600208,227.19
600210,77.66
600211,121.96
600212,38.94
600213,28.94
600215,44.69
600216,105.57
600217,67.35
600218,37.03
600219,372.33
600220,41.37
600221,717.38
600222,32.77
600223,102.57
600225,184.9
600226,84.42
600227,47.75
600228,56.31
600229,53.7
600230,62.17
600231,67.31
600232,19.95
600233,524.25
600234,18.74
600235,19.46
600236,434.32
600237,44.08
600238,49.66
600239,47.53
600241,23.4
600243,18.52
600246,120.57
600248,181.28
600249,29.04
600250,20.1
600251,73.97
600252,87.67
600255,40.46
600256,453.04
600257,29.4
600258,225.45
600259,123.03
600261,48.68
600262,31.93
600265,21.91
600266,164.95
600267,130.33
600268,60.5
600269,88.04
600271,241.43
600272,28.65
600273,130.1
600276,2500.57
600277,113.58
600278,65.41
600279,50.92
600280,53.6
600281,21.76
600282,220.09
600283,50.34
600284,64.13
600285,89.63
600287,23.87
600288,45.78
600289,16.98
600290,10.71
600292,45.99
600293,31.21
600295,260.29
600297,167.9
600298,308.87
600299,216.97
600300,50.78
600301,104.88
600302,17.89
600303,34.73
600305,121.65
600306,18.69
600307,104.6
600308,58.1
600309,2982.76
600310,61.27
600312,156.45
600313,99.89
600315,189.41
600316,156.9
600318,37.63
600319,19.89
600320,197.56
600321,27.64
600322,31.62
600323,151.08
600325,228.44
600326,55.07
600327,40.7
600328,133.42
600329,300.78
600330,124.08
600331,85.14
600332,504.0
600333,30.63
600335,120.71
600336,44.29
600337,45.13
600338,158.16
600339,217.18
600340,97.45
600343,64.97
600345,37.94
600346,1055.86
600348,280.3
600350,311.24
600351,56.29
600352,312.65
600353,58.8
600354,36.15
600355,16.88
600356,23.06
600358,27.37
600359,30.33
600360,64.72
600361,231.41
600362,673.85
600363,162.15
600365,15.81
600366,88.66
600367,39.97
600368,45.81
600369,303.02
600370,106.37
600371,34.64
600372,712.77
600373,165.59
600375,46.39
600376,123.3
600377,465.49
600378,364.41
600379,32.69
600380,219.08
600381,51.54
600382,37.55
600383,370.65
600386,32.66
600387,25.23
600388,183.46
600389,106.57
600390,270.33
600391,70.85
600392,217.53
600395,137.81
600396,36.82
600397,30.59
600398,298.48
600399,181.83
600400,75.45
